[15:48:48] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:50390
[15:48:48] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:60788
[15:48:48] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53580
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.50.73.4:443 -> 10.184.0.59:53573
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53573 -> 20.50.73.4:443
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.189.172.33:443 -> 10.184.0.59:53563
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53563 -> 20.189.172.33:443
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53538 -> 13.107.5.93:443
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 20.207.73.85:443 -> 10.184.0.59:53564
[15:48:49] ALLOWED (SAFE TRAFFIC) | TCP | 10.184.0.59:53564 -> 20.207.73.85:443
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53580
[15:48:49] UNKNOWN (NEEDS REVIEW) | TCP | 140.82.112.21:443 -> 10.184.0.59:53571
[15:48:49] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:59662 -> 10.184.0.171:53
[15:48:49] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:58143 -> 10.184.0.171:53
[15:48:49] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:59662
[15:48:49] UNKNOWN (NEEDS REVIEW) | UDP | 10.184.0.171:53 -> 10.184.0.59:58143
[15:48:49] ALLOWED (SAFE TRAFFIC) | UDP | 10.184.0.59:62595 -> 10.184.0.171:53
